Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-08 12:07:29,,(Rapid Reporter version),"1.11.03.20",,
2011-04-08 12:07:29,,Session Reporter,"",,
2011-04-08 12:07:29,,Hashcode,"d5849a7a8e",,
2011-04-08 12:07:29,,Session Charter,"test",,
2011-04-08 12:07:32,,autogenerated,"screenshot saved",1_20110408_120732_d5849a7a8e.jpg,
2011-04-08 12:07:45,,autogenerated,"screenshot saved",2_20110408_120745_d5849a7a8e.jpg,
2011-04-08 12:07:56,,WebUrl: ,"http://www.flickr.com/photos/26568532@N03/5600307208/",,
2011-04-08 12:08:14,,Session End. Duration,"00:00:44",,
