Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-05 11:00:35,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 11:00:35,,Session Reporter,"",,
2011-04-05 11:00:35,,Hashcode,"f80652ed27",,
2011-04-05 11:00:35,,Session Charter,"sdfsd",,
2011-04-05 11:00:35,,Setup,"f",,
2011-04-05 11:00:37,,autogenerated,"screenshot saved",1_20110405_110037_f80652ed27.jpg,
2011-04-05 11:02:14,,autogenerated,"screenshot saved",2_20110405_110214_f80652ed27.jpg,
2011-04-05 11:02:54,,Session End. Duration,"00:02:19",,
