Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 13:40:22,,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 13:40:22,,Session Reporter,"",,
2011-04-06 13:40:22,,Hashcode,"795cbae34e",,
2011-04-06 13:40:22,,Session Charter,"fdgd",,
2011-04-06 13:40:22,,Setup,"fg",,
2011-04-06 13:40:26,,autogenerated,"screenshot saved",1_20110406_134025_795cbae34e.jpg,
2011-04-06 13:40:26,,autogenerated,"screenshot saved",2_20110406_134026_795cbae34e.jpg,
2011-04-06 13:40:26,,autogenerated,"screenshot saved",3_20110406_134026_795cbae34e.jpg,
2011-04-06 13:40:29,,Session End. Duration,"00:00:07",,
